"DATE TIME (UTC)","MMSI","LATITUDE","LONGITUDE","COURSE","SPEED","HEADING","NAVSTAT","IMO","NAME","CALLSIGN","AISTYPE","A","B","C","D","DRAUGHT","DESTINATION","ETA"
"2023-04-02 06:15:22",636017506,22.06758,115.29760,75.7,8.9,76,0,9762326,"MSC JADE","D5LH6",71,146,253,36,23,11.0,"NINGBO","04-08 21:30"
"2023-04-02 06:16:22",228386700,37.12362,2.52602,75.7,15.8,72,0,9839179,"CMACGM JACQUES SAADE","FLZE",74,116,284,38,24,15.7,"EGZZ1","04-06 02:00"
"2023-04-02 06:35:49",219646000,38.73968,119.49800,277.5,10.5,275,0,9632179,"MATHILDE MAERSK","OWZW2",71,146,253,30,30,12.6,"CN HSK","04-02 14:00"
"2023-04-02 12:00:04",219018501,1.34965,103.54947,338.0,0.0,338,5,9619919,"MAJESTIC MAERSK","OWJD2",71,146,253,30,30,15.1,"MY TPP>>> EG SUC","04-14 03:00"
"2023-04-02 12:00:04",248794000,30.84420,124.57505,232.6,11.5,231,0,9776432,"CMACGM LOUIS BLERIOT","9HA4811",71,128,271,29,29,11.4,"NINGBO","04-03 00:30"
"2023-04-02 12:00:32",219629000,30.61318,122.07430,316.7,0.0,307,5,9632131,"MARGRETHE MAERSK","OWYZ2",71,146,253,30,30,15.1,"CN SGH > MY TPP","04-17 12:00"
"2023-04-02 12:00:33",636017685,5.92943,92.60336,90.2,15.8,91,0,9767388,"MSC RIFAYA","D5MF9",71,159,241,25,34,13.5,"SGSIN","04-04 12:00"
"2023-04-02 12:03:15",248758000,51.00460,2.18337,195.5,0.0,345,5,9776420,"CMA CGM JEAN MERMOZ","9HA4798",71,128,271,29,29,14.6,"FRDKK","04-01 22:00"
"2023-04-02 12:04:02",374859000,37.95554,23.57978,115.2,0.0,347,5,9708679,"MSC MAYA","3D_LP",71,145,251,36,23,13.5,"GR PIR","04-01 22:00"
"2023-04-02 12:04:03",228394600,16.14664,116.37140,46.3,15.3,46,0,9839181,"CMA CGM PALAIS ROYAL","FMMT",71,116,284,35,27,10.8,"MYPKG > KRPUS","04-06 03:00"
"2023-04-02 12:04:22",352757000,29.89076,122.82899,241.5,0.0,94,1,9703318,"MSC ZOE","3FQA",71,145,251,36,23,11.8,"CNNGB","04-03 22:10"
"2023-04-02 12:04:34",636017506,22.28468,116.19922,44.8,8.9,48,0,9762326,"MSC JADE","D5LH6",71,146,253,36,23,11.0,"NINGBO","04-08 21:30"
"2023-04-02 12:04:43",219018864,24.14688,118.51237,280.4,12.5,280,0,9619945,"MADISON MAERSK","OWJG2",71,146,253,30,30,13.5,"CNNGB >> CNXIM","04-02 14:30"
"2023-04-02 12:04:44",219021000,22.48485,113.74967,170.0,12.2,170,0,9632117,"MUNKEBO MAERSK","OWUQ2",71,146,253,30,30,14.6,"CNNAN > CNYAT","04-02 18:00"
"2023-04-02 12:04:53",219646000,38.85348,118.39010,279.1,8.8,275,0,9632179,"MATHILDE MAERSK","OWZW2",71,146,253,30,30,12.6,"CN HSK","04-02 14:00"
"2023-04-02 12:05:00",219018692,35.95883,-5.42698,70.1,13.4,71,0,9619921,"MARY MAERSK","OWJE2",71,146,253,30,30,15.7,"MAPTM > EGSUC","04-06 23:00"
"2023-04-02 12:05:03",636017577,42.31730,-9.80090,359.5,18.6,0,0,9754965,"MSC REEF","D5LQ2",70,145,253,35,24,14.2,"ANTWERP","04-04 10:00"
"2023-04-02 12:05:04",355906000,1.27685,103.75601,322.7,0.0,301,5,9703291,"MSC OSCAR","3FBT7",71,145,251,36,23,13.5,"SINGAPORE","03-31 22:00"
"2023-04-02 12:05:44",228386800,36.13002,-5.42224,219.3,0.0,179,5,9839131,"CC CHAMPS ELYSEES","FLZF",71,114,285,24,37,15.8,"ESALG","04-02 04:00"
"2023-04-02 12:18:28",219019094,36.39368,-1.97323,79.3,16.4,80,0,9619969,"MARIBO MAERSK","OWJJ2",71,146,253,30,30,16.4,"MAPTM>EGSUZ","04-06 21:00"
"2023-04-02 12:19:07",374886000,38.45580,15.90578,224.8,0.0,198,5,9647461,"MSC HAMBURG","3FYY8",74,163,236,19,35,13.8,"EGPSE","04-05 15:00"
"2023-04-02 12:37:02",228386700,37.33149,4.75465,85.4,17.8,84,0,9839179,"CMACGM JACQUES SAADE","FLZE",74,116,284,38,24,15.7,"EGZZ1","04-06 02:00"
"2023-04-02 18:00:01",219018692,36.25228,-3.12808,82.1,17.8,86,0,9619921,"MARY MAERSK","OWJE2",71,146,253,30,30,15.7,"MAPTM > EGSUC","04-06 23:00"
"2023-04-02 18:01:30",352757000,29.88948,122.82994,199.9,0.1,24,1,9703318,"MSC ZOE","3FQA",71,145,251,36,23,11.8,"CNNGB","04-03 22:10"
"2023-04-02 18:02:45",228386800,36.13003,-5.42222,345.2,0.0,179,5,9839131,"CC CHAMPS ELYSEES","FLZF",71,114,285,24,37,14.9,"FRDKK","04-06 09:00"
"2023-04-02 18:03:12",219018501,1.34967,103.54947,338.0,0.0,338,5,9619919,"MAJESTIC MAERSK","OWJD2",71,146,253,30,30,15.1,"MY TPP>>> EG SUC","04-14 03:00"
"2023-04-02 18:03:17",248758000,51.00462,2.18338,19.8,0.1,345,5,9776420,"CMA CGM JEAN MERMOZ","9HA4798",71,128,271,29,29,14.6,"FRDKK","04-01 22:00"
"2023-04-02 18:04:06",219021000,22.50723,114.42187,320.0,8.2,320,0,9632117,"MUNKEBO MAERSK","OWUQ2",71,146,253,30,30,14.5,"CNNAN > CNYAT","04-02 18:00"
"2023-04-02 18:04:06",374859000,37.95555,23.57979,115.2,0.0,347,5,9708679,"MSC MAYA","3EZI",71,145,251,36,23,13.5,"GR PIR","01-01 22:00"
"2023-04-02 18:04:53",355906000,1.27415,103.75554,177.9,1.1,24,0,9703291,"MSC OSCAR","3FBT7",71,145,251,36,23,13.3,"SHEKOU","04-06 18:00"
